room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
12684863,67666062,Shared room,,Seongsan-dong,0,0.0,16,1.0,414.0,,37.558501,126.909043,2017-03-25 03:47:16.738805
14095441,75553354,Shared room,,Gye-dong,0,0.0,15,1.0,468.0,,37.581801,126.987729,2017-03-25 03:47:16.736330
11213409,58413780,Shared room,,Nonhyeon-dong,0,0.0,4,1.0,349.0,,37.507063,127.032229,2017-03-25 03:47:16.733266
9337263,22261535,Shared room,,Yeonnam-dong,1,0.0,16,1.0,230.0,,37.560228,126.920035,2017-03-25 03:47:15.354316
11461545,58413780,Shared room,,Yeoksam-dong,0,0.0,4,1.0,295.0,,37.507478,127.04011,2017-03-25 03:47:15.350994
14094360,75553354,Shared room,,Gye-dong,2,0.0,11,1.0,288.0,,37.581778,126.98807,2017-03-25 03:47:15.347362
16072077,24130965,Shared room,,Guro-dong,0,0.0,1,1.0,253.0,,37.494495,126.871012,2017-03-25 03:47:15.343389
13512741,77570823,Shared room,,Jagok-dong,0,0.0,4,1.0,206.0,,37.470937,127.089558,2017-03-25 03:47:14.106891
10297890,24221128,Shared room,,Samseong-dong,3,5.0,6,1.0,196.0,,37.51813,127.063404,2017-03-25 03:47:14.103986
5126322,26497920,Shared room,,Seocho-dong,0,0.0,3,1.0,151.0,,37.499265,127.024718,2017-03-25 03:47:13.073746
1764317,8979626,Shared room,,Seogyo-dong,0,0.0,4,1.0,147.0,,37.554296,126.919103,2017-03-25 03:47:13.071228
10297830,24221128,Shared room,,Samseong-dong,1,0.0,5,1.0,155.0,,37.518633,127.062367,2017-03-25 03:47:13.068475
8042071,41856381,Shared room,,Chebu-dong,0,0.0,6,1.0,166.0,,37.577233,126.971553,2017-03-25 03:47:13.065001
7861100,5311036,Shared room,,Pirun-dong,0,0.0,6,1.0,166.0,,37.576603,126.969924,2017-03-25 03:47:13.062515
9054305,46981096,Shared room,,Hyehwa-dong,0,0.0,6,1.0,184.0,,37.591686,127.001121,2017-03-25 03:47:13.060088
14828017,91599955,Shared room,,Tongin-dong,0,0.0,4,1.0,151.0,,37.580901,126.96887,2017-03-25 03:47:13.057498
14827968,91599955,Shared room,,Nusang-dong,1,0.0,4,1.0,151.0,,37.580453,126.966961,2017-03-25 03:47:13.054516
14091712,81038775,Shared room,,Myeongnyun 2(i)-ga,0,0.0,3,1.0,147.0,,37.585076,126.997647,2017-03-25 03:47:13.050516
13592545,77609130,Shared room,,Yeonnam-dong,4,5.0,6,1.0,166.0,,37.563256,126.924099,2017-03-25 03:47:13.047317
6453747,9181390,Shared room,,Myeongnyun 2(i)-ga,0,0.0,7,1.0,129.0,,37.585793,126.997965,2017-03-25 03:47:11.334794
8358298,32028072,Shared room,,Dongseon-dong 4(sa)-ga,0,0.0,6,1.0,134.0,,37.597116,127.019498,2017-03-25 03:47:11.332018
10297751,24221128,Shared room,,Samseong-dong,0,0.0,4,1.0,142.0,,37.519091,127.063802,2017-03-25 03:47:11.329426
9051953,47228317,Shared room,,Yeonnam-dong,2,0.0,6,1.0,129.0,,37.560367,126.921925,2017-03-25 03:47:11.326739
14862018,91586231,Shared room,,Jamwon-dong,1,0.0,4,1.0,143.0,,37.513804,127.01736,2017-03-25 03:47:11.324020
14048825,39308679,Shared room,,Gahoe-dong,1,0.0,2,1.0,134.0,,37.583913,126.986545,2017-03-25 03:47:11.320880
14044564,81038775,Shared room,,Myeongnyun 1(il)-ga,0,0.0,2,1.0,129.0,,37.586467,126.998183,2017-03-25 03:47:11.318312
13592916,77609130,Shared room,,Yeonnam-dong,2,0.0,4,1.0,138.0,,37.562102,126.925079,2017-03-25 03:47:11.315559
12280875,66172277,Shared room,,Gwancheol-dong,0,0.0,4,1.0,129.0,,37.569556,126.985121,2017-03-25 03:47:11.311198
14861880,91586231,Shared room,,Jamwon-dong,0,0.0,3,1.0,107.0,,37.515039,127.018272,2017-03-25 03:47:10.208465
15183351,74084742,Shared room,,Nonhyeon-dong,0,0.0,1,1.0,110.0,,37.506374,127.024123,2017-03-25 03:47:10.205999
5105057,25164895,Shared room,,Itaewon-dong,1,0.0,7,1.0,110.0,,37.535984,126.991705,2017-03-25 03:47:10.203723
4421474,22951253,Shared room,,Myeong-dong 1(il)-ga,5,4.0,4,1.0,115.0,,37.564533,126.985602,2017-03-25 03:47:10.200709
3853526,19876378,Shared room,,Songhyeon-dong,0,0.0,3,1.0,110.0,,37.576674,126.981044,2017-03-25 03:47:10.194373
