room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
12939484,8426543,Entire home/apt,,Dongja-dong,0,,7,1.0,76.0,4.0,37.554344,126.97112,2016-05-29 11:34:50.642211
6561253,31536382,Private room,,Seogyo-dong,3,4.0,3,1.0,60.0,2.0,37.554885,126.916487,2016-05-29 11:34:29.328358
4893047,11677529,Private room,,Donggyo-dong,12,4.5,1,1.0,30.0,1.0,37.556167,126.929191,2016-05-29 11:34:13.842081
1274170,4424619,Shared room,,Nonhyeon-dong,2,,6,1.0,30.0,1.0,37.506023,127.025981,2016-05-29 11:33:55.478097
13007981,9397822,Private room,,Junghwa-dong,0,,1,1.0,24.0,14.0,37.60706,127.084071,2016-05-29 11:33:45.207288
8543882,40552680,Entire home/apt,,Sungin-dong,9,5.0,2,1.0,47.0,3.0,37.572839,127.017479,2016-05-29 11:33:42.448483
12529151,15711308,Shared room,,Seogyo-dong,0,,6,1.0,18.0,1.0,37.554428,126.925694,2016-05-29 11:33:37.308960
12139227,26946636,Entire home/apt,,Wonseo-dong,0,,3,1.0,100.0,1.0,37.582297,126.989347,2016-05-29 11:33:08.329731
11962728,27403055,Shared room,,Yongsan-dong 3(sam)-ga,1,,6,1.0,18.0,1.0,37.530829,126.973961,2016-05-29 11:33:06.248515
12057136,64582015,Shared room,,Mangwon-dong,1,,11,1.0,31.0,1.0,37.55536,126.903851,2016-05-29 11:32:54.498368
10133528,25057426,Private room,,Nogosan-dong,5,5.0,2,1.0,35.0,2.0,37.552868,126.936256,2016-05-29 11:32:18.633035
13021812,47300611,Shared room,,Donggyo-dong,0,,6,1.0,13.0,1.0,37.560646,126.926427,2016-05-29 11:31:34.655979
1726500,8746080,Shared room,,Mullae-dong 3(sam)-ga,15,4.5,4,1.0,15.0,1.0,37.514546,126.89548,2016-05-29 11:31:32.661795
5816867,22261535,Private room,,Donggyo-dong,6,4.5,3,1.0,25.0,1.0,37.558975,126.925372,2016-05-29 11:31:28.982986
1473642,7888744,Private room,,Hannam-dong,0,,2,1.0,50.0,3.0,37.534226,127.000545,2016-05-29 11:30:42.666508
1125760,6175346,Shared room,,Anam-dong 2(i)-ga,11,5.0,4,1.0,11.0,2.0,37.586486,127.021223,2016-05-29 11:30:17.336338
4788331,23471642,Entire home/apt,,Chungmuro 2(i)-ga,34,5.0,5,0.0,52.0,,37.56278,126.99011,2016-05-29 11:30:11.709860
4608162,9116568,Shared room,,Donggyo-dong,4,4.0,3,1.0,23.0,1.0,37.560063,126.926597,2016-05-29 11:29:02.056280
8391140,29616045,Entire home/apt,,Seocho-dong,6,5.0,3,1.0,60.0,1.0,37.500974,127.025114,2016-05-29 11:28:55.923168
10737145,55505937,Private room,,Sincheon-dong,0,,4,1.0,30.0,1.0,37.523698,127.11409,2016-05-29 11:27:55.966289
9082435,21301264,Shared room,,Itaewon-dong,0,,1,1.0,87.0,1.0,37.535737,126.994242,2016-05-29 11:27:42.478843
11874155,23651917,Entire home/apt,,Yeoksam-dong,8,5.0,4,1.0,75.0,2.0,37.498208,127.028212,2016-05-29 11:27:36.633003
11498701,28197740,Entire home/apt,,Bangi-dong,5,4.0,6,2.0,33.0,1.0,37.511786,127.124207,2016-05-29 11:27:28.553152
6561548,31627642,Shared room,,Itaewon-dong,0,,1,1.0,19.0,1.0,37.535516,126.992587,2016-05-29 11:27:25.026249
12416002,7633775,Entire home/apt,,Yeoksam-dong,2,,3,1.0,103.0,2.0,37.509158,127.042869,2016-05-29 11:26:37.317424
3171349,13905994,Entire home/apt,,Itaewon-dong,24,4.5,6,2.0,82.0,3.0,37.536145,126.990472,2016-05-29 11:26:34.841085
824331,3303906,Shared room,,Changjeon-dong,16,5.0,14,1.0,24.0,1.0,37.552167,126.927474,2016-05-29 11:26:01.357935
11307729,59108736,Private room,,Gye-dong,0,,1,1.0,84.0,1.0,37.580225,126.986174,2016-05-29 11:25:53.080248
10325479,51561694,Shared room,,Seogyo-dong,0,,1,1.0,26.0,1.0,37.55564,126.912889,2016-05-29 11:25:49.653807
5876306,28621131,Entire home/apt,,Donggyo-dong,41,5.0,3,1.0,67.0,2.0,37.556812,126.923097,2016-05-29 11:25:35.091882
3563790,17944886,Entire home/apt,,Bongcheon-dong,1,,5,3.0,30.0,13.0,37.486542,126.949349,2016-05-29 11:25:27.990359
742672,3888422,Private room,,Bangbae-dong,5,4.5,3,1.0,36.0,1.0,37.476284,126.995503,2016-05-29 11:25:23.844772
10668318,55106406,Private room,,Seokgwan-dong,5,5.0,1,1.0,17.0,2.0,37.606165,127.062683,2016-05-29 11:25:20.997934
6080479,1572120,Entire home/apt,,Dongja-dong,7,4.5,7,0.0,72.0,2.0,37.554798,126.969314,2016-05-29 11:24:57.892482
11594687,7228997,Private room,,Bongcheon-dong,0,,2,1.0,35.0,7.0,37.47923,126.953393,2016-05-29 11:24:44.554154
2498291,12787251,Private room,,Seobinggo-dong,0,,1,1.0,145.0,1.0,37.517442,126.989144,2016-05-29 11:24:40.454658
8159472,40552680,Entire home/apt,,Sungin-dong,7,5.0,2,1.0,48.0,2.0,37.57172,127.017306,2016-05-29 11:24:37.740049
4731249,21575022,Private room,,Samseong-dong,45,5.0,2,1.0,38.0,1.0,37.51214,127.044035,2016-05-29 11:24:34.256089
3844134,3465480,Entire home/apt,,Sillim-dong,0,,2,1.0,15.0,5.0,37.464064,126.937572,2016-05-29 11:24:04.337898
1370601,6175346,Private room,,Anam-dong 2(i)-ga,1,,1,1.0,12.0,2.0,37.587253,127.021254,2016-05-29 11:24:00.574182
7338691,38448261,Private room,,Samseong-dong,0,,2,1.0,69.0,1.0,37.508041,127.051319,2016-05-29 11:23:56.111274
12896181,47184445,Entire home/apt,,Cheongdam-dong,0,,1,1.0,402.0,3.0,37.523457,127.047884,2016-05-29 11:23:53.421064
4992397,24721330,Entire home/apt,,Dohwa-dong,40,5.0,3,1.0,55.0,,37.540228,126.9461,2016-05-29 11:23:24.367175
12815930,24792589,Entire home/apt,,Hyeonseok-dong,1,,2,1.0,50.0,2.0,37.542351,126.935436,2016-05-29 11:23:11.783710
7492883,6180833,Entire home/apt,,Seogyo-dong,23,4.5,2,1.0,39.0,2.0,37.554008,126.91735,2016-05-29 11:23:02.331373
7605461,29494436,Shared room,,Hannam-dong,0,,8,1.0,20.0,1.0,37.535215,126.998298,2016-05-29 11:22:54.648920
952482,5170197,Private room,,Gye-dong,1,,2,1.0,43.0,1.0,37.583054,126.987523,2016-05-29 11:21:27.351935
9831879,24721330,Entire home/apt,,Bongnae-dong 1(il)-ga,12,5.0,12,3.0,153.0,,37.559871,126.973245,2016-05-29 11:21:15.919837
3886906,19562176,Private room,,Gahoe-dong,3,5.0,3,1.0,108.0,1.0,37.583038,126.984604,2016-05-29 11:21:01.090832
8621516,24501468,Entire home/apt,,Itaewon-dong,9,4.5,2,1.0,56.0,2.0,37.53341,126.995792,2016-05-29 11:20:52.610200
4662509,24125761,Shared room,,Seogyo-dong,0,,2,1.0,26.0,1.0,37.555914,126.927461,2016-05-29 11:20:23.868218
2069024,250770,Entire home/apt,,Donggyo-dong,0,,4,1.0,95.0,2.0,37.558826,126.926215,2016-05-29 11:20:04.705319
10290135,47950790,Shared room,,Changsin-dong,5,4.5,1,1.0,13.0,1.0,37.571177,127.013483,2016-05-29 11:19:57.449422
3990656,19883108,Entire home/apt,,Gaepo-dong,12,5.0,6,5.0,205.0,5.0,37.484377,127.053277,2016-05-29 11:19:54.160823
4929061,3465480,Entire home/apt,,Sillim-dong,0,,4,1.0,46.0,1.0,37.465163,126.935922,2016-05-29 11:19:37.646196
8122624,41974491,Private room,,Hap-dong,0,,4,1.0,87.0,1.0,37.562126,126.965772,2016-05-29 11:19:22.647231
5365956,13010006,Entire home/apt,,Daehyeon-dong,11,4.5,3,1.0,59.0,1.0,37.557364,126.943454,2016-05-29 11:19:18.385171
9987505,51312855,Entire home/apt,,Gwanhun-dong,0,,2,0.0,46.0,2.0,37.573789,126.98618,2016-05-29 11:18:50.218677
10972063,56458681,Shared room,,Changcheon-dong,2,,14,1.0,15.0,1.0,37.558741,126.931353,2016-05-29 11:18:38.127339
10128471,21710610,Entire home/apt,,Euljiro 2(i)-ga,19,5.0,3,1.0,39.0,1.0,37.566111,126.9857,2016-05-29 11:18:35.157912
9592949,49520508,Private room,,Sinsa-dong,14,4.5,2,1.0,38.0,3.0,37.520456,127.024608,2016-05-29 11:18:32.696275
