room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
5105057,1462,25164895,Shared room,,Seoul,,Itaewon-dong,1,0.0,7,1.0,,108.0,,2017-07-18 00:46:03.513459,37.535984,126.991705,0101000020E6100000E6913F1878BF5F40F296AB1F9BC44240
10130222,1462,51987554,Shared room,,Seoul,,Donggyo-dong,0,0.0,4,1.0,,108.0,,2017-07-18 00:46:03.511062,37.556405,126.922092,0101000020E6100000CFF9298E03BB5F405A2A6F4738C74240
10551038,1462,53913229,Shared room,,Seoul,,Gahoe-dong,44,5.0,9,1.0,,108.0,,2017-07-18 00:46:03.507464,37.582025,126.984868,0101000020E610000020B8CA1308BF5F402A3A92CB7FCA4240
14828017,1462,91599955,Shared room,,Seoul,,Tongin-dong,0,0.0,4,1.0,,98.0,,2017-07-18 00:46:00.316730,37.580901,126.96887,0101000020E6100000D50451F701BE5F405A9BC6F65ACA4240
13438916,1462,76688748,Shared room,,Seoul,,Gayang-dong,2,0.0,2,1.0,,90.0,,2017-07-18 00:46:00.312652,37.561352,126.834524,0101000020E610000089EE59D768B55F40A8C5E061DAC74240
8358155,1462,32028072,Shared room,,Seoul,,Donam-dong,0,0.0,4,1.0,,94.0,,2017-07-18 00:46:00.309804,37.597955,127.019486,0101000020E6100000B62E35423FC15F4066BD18CA89CC4240
3616141,1462,17086867,Shared room,,Seoul,,Bangbae-dong,0,0.0,1,1.0,,103.0,,2017-07-18 00:46:00.306326,37.477265,127.005295,0101000020E610000045F5D6C056C05F404243FF0417BD4240
8818106,1462,36101719,Shared room,,Seoul,,Seobinggo-dong,0,0.0,4,1.0,,91.0,,2017-07-18 00:46:00.301968,37.521373,126.990606,0101000020E61000002B4EB51666BF5F403A02B859BCC24240
4891240,1462,25164895,Shared room,,Seoul,,Itaewon-dong,7,4.0,6,1.0,,98.0,,2017-07-18 00:46:00.295384,37.535978,126.993404,0101000020E6100000CCED5EEE93BF5F4010B056ED9AC44240
13579519,1462,77609130,Shared room,,Seoul,,Yeonnam-dong,0,0.0,3,1.0,,99.0,,2017-07-18 00:46:00.292525,37.56291,126.924649,0101000020E6100000DDD1FF722DBB5F40B24B546F0DC84240
16118621,1462,105110807,Shared room,,Seoul,,Mia-dong,0,0.0,1,1.0,,91.0,,2017-07-18 00:46:00.287535,37.616928,127.019331,0101000020E6100000223317B83CC15F404CFE277FF7CE4240
9082435,1462,21301264,Shared room,,Seoul,,Itaewon-dong,0,0.0,1,1.0,,91.0,,2017-07-18 00:46:00.283225,37.535737,126.994242,0101000020E6100000D19332A9A1BF5F40EA20AF0793C44240
3427192,1462,5999738,Shared room,,Seoul,,Yeonnam-dong,1,0.0,4,1.0,,103.0,,2017-07-18 00:46:00.278982,37.560662,126.922578,0101000020E6100000958098840BBB5F40130EBDC5C3C74240
6438517,1462,31627642,Shared room,,Seoul,,Itaewon-dong,5,4.5,4,1.0,,99.0,,2017-07-18 00:46:00.273688,37.535964,126.992801,0101000020E6100000E99B340D8ABF5F40ABEAE5779AC44240
11898666,1462,10958218,Shared room,,Seoul,,Gwansu-dong,0,0.0,4,1.0,,95.0,,2017-07-18 00:46:00.270886,37.569528,126.991987,0101000020E6100000A8C30AB77CBF5F400114234BE6C84240
16812802,1462,84076462,Shared room,,Seoul,,Yeonnam-dong,0,0.0,5,1.0,,91.0,,2017-07-18 00:46:00.268152,37.561212,126.923879,0101000020E6100000849D62D520BB5F40B60F79CBD5C74240
12372753,1462,66172277,Shared room,,Seoul,,Gwancheol-dong,0,0.0,3,1.0,,95.0,,2017-07-18 00:46:00.261414,37.568607,126.984663,0101000020E610000033A5F5B704BF5F406AA33A1DC8C84240
16609284,1462,107604112,Shared room,,Seoul,,Tongui-dong,0,0.0,3,1.0,,99.0,,2017-07-18 00:46:00.255524,37.577847,126.972915,0101000020E61000006CB2463D44BE5F40BD8BF7E3F6C94240
14827968,1462,91599955,Shared room,,Seoul,,Nusang-dong,3,5.0,4,1.0,,98.0,,2017-07-18 00:46:00.242867,37.580453,126.966961,0101000020E61000007AE063B0E2BD5F40BBEEAD484CCA4240
13515366,1462,77609130,Shared room,,Seoul,,Yeonnam-dong,0,0.0,2,1.0,,63.0,,2017-07-18 00:45:58.101770,37.564116,126.924896,0101000020E6100000E10CFE7E31BB5F403E93FDF334C84240
13553264,1462,77609130,Shared room,,Seoul,,Yeonnam-dong,1,0.0,2,1.0,,64.0,,2017-07-18 00:45:58.099189,37.562734,126.925384,0101000020E6100000770FD07D39BB5F40732CEFAA07C84240
4305901,1462,20830019,Shared room,,Seoul,,Daehyeon-dong,0,0.0,3,1.0,,81.0,,2017-07-18 00:45:58.096521,37.557806,126.945197,0101000020E6100000BFD18E1B7EBC5F409CC1DF2F66C74240
2789659,1462,14246846,Shared room,,Seoul,,Sinsa-dong,1,0.0,3,1.0,,76.0,,2017-07-18 00:45:58.093961,37.520878,127.023622,0101000020E6100000D55DD90583C15F405B9A5B21ACC24240
428729,1462,1656863,Shared room,,Seoul,,Myeongnyun 2(i)-ga,8,4.0,6,1.0,,72.0,,2017-07-18 00:45:58.091786,37.585278,126.997731,0101000020E610000025CD1FD3DABF5F40BE88B663EACA4240
8399014,1462,43663625,Shared room,,Seoul,,Namsan-dong 2(i)-ga,1,0.0,4,1.0,,82.0,,2017-07-18 00:45:58.088976,37.559591,126.986052,0101000020E6100000F209D9791BBF5F4066118AADA0C74240
12686173,1462,67395638,Shared room,,Seoul,,Sajik-dong,1,0.0,3,1.0,,63.0,,2017-07-18 00:45:58.086163,37.577221,126.967563,0101000020E610000075745C8DECBD5F403FC8B260E2C94240
16500631,1462,25965979,Shared room,,Seoul,,Sinsa-dong,0,0.0,2,1.0,,74.0,,2017-07-18 00:45:58.083825,37.520312,127.025756,0101000020E6100000406B7EFCA5C15F40B1DB679599C24240
16233095,1462,105406085,Shared room,,Seoul,,Bulgwang-dong,0,0.0,4,1.0,,65.0,,2017-07-18 00:45:58.079985,37.617717,126.925445,0101000020E6100000CA4FAA7D3ABB5F407497C45911CF4240
13592869,1462,77609130,Shared room,,Seoul,,Yeonnam-dong,0,0.0,3,1.0,,72.0,,2017-07-18 00:45:58.075754,37.563363,126.92543,0101000020E6100000302FC03E3ABB5F4063635E471CC84240
5095875,1462,26331349,Shared room,,Seoul,,Yegwan-dong,0,0.0,4,1.0,,72.0,,2017-07-18 00:45:56.569379,37.563341,126.997315,0101000020E6100000DB334B02D4BF5F407BBFD18E1BC84240
14584322,1462,90408045,Shared room,,Seoul,,Sillim-dong,0,0.0,2,1.0,,72.0,,2017-07-18 00:45:56.565383,37.488181,126.930032,0101000020E6100000F10EF0A485BB5F40A8C30AB77CBE4240
3771978,1462,19333663,Shared room,,Seoul,,Dapsipni-dong,0,0.0,3,1.0,,72.0,,2017-07-18 00:45:56.562450,37.565763,127.059198,0101000020E6100000457F68E6C9C35F40B72407EC6AC84240
4236174,1462,21983786,Shared room,,Seoul,,Jingwan-dong,0,0.0,8,1.0,,71.0,,2017-07-18 00:45:56.558837,37.633652,126.926407,0101000020E610000045F295404ABB5F40C2853C821BD14240
6415135,1462,2008249,Shared room,,Seoul,,Cheongpa-dong 1(il)-ga,0,0.0,4,1.0,,63.0,,2017-07-18 00:45:56.555601,37.548635,126.970101,0101000020E61000004834812216BE5F407138F3AB39C64240
7136315,1462,35349627,Shared room,,Seoul,,Donggyo-dong,1,0.0,2,1.0,,72.0,,2017-07-18 00:45:56.553272,37.558627,126.924214,0101000020E610000058207A5226BB5F40D0D4EB1681C74240
4017157,1462,20830019,Shared room,,Seoul,,Daehyeon-dong,1,0.0,2,1.0,,63.0,,2017-07-18 00:45:56.550120,37.558184,126.94516,0101000020E6100000315F5E807DBC5F404293C49272C74240
4343777,1462,22551232,Shared room,,Seoul,,Eungam-dong,0,0.0,3,1.0,,75.0,,2017-07-18 00:45:56.546955,37.598953,126.927509,0101000020E6100000B96FB54E5CBB5F40A96BED7DAACC4240
8275691,1462,11055474,Shared room,,Seoul,,Daehyeon-dong,0,0.0,3,1.0,,81.0,,2017-07-18 00:45:56.544241,37.556949,126.944951,0101000020E6100000A454C2137ABC5F401C45D61A4AC74240
5415032,1462,27929832,Shared room,,Seoul,,Nogosan-dong,0,0.0,4,1.0,,81.0,,2017-07-18 00:45:56.541196,37.555662,126.941141,0101000020E61000002FFB75A73BBC5F40A2D0B2EE1FC74240
13761238,1462,28887387,Shared room,,Seoul,,Seongnae-dong,0,0.0,3,1.0,,74.0,,2017-07-18 00:45:56.537348,37.531694,127.125096,0101000020E61000001137A79201C85F405EBD8A8C0EC44240
