room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
4891240,25164895,Shared room,,Itaewon-dong,7,4.0,6,1.0,106.0,,37.535978,126.993404,2017-02-12 04:51:09.276830
14490005,89275849,Shared room,,Yeonhui-dong,1,0.0,4,1.0,66.0,,37.566989,126.923398,2017-02-12 04:51:04.988457
12057680,64586502,Shared room,,Jangchung-dong 2(i)-ga,9,5.0,3,1.0,67.0,,37.561519,127.00399,2017-02-12 04:51:02.214620
12684863,67666062,Shared room,,Seongsan-dong,0,0.0,16,1.0,404.0,,37.558501,126.909043,2017-02-12 04:44:59.446730
14095441,75553354,Shared room,,Gye-dong,0,0.0,15,1.0,468.0,,37.581801,126.987729,2017-02-12 04:44:59.444722
15776043,31943180,Shared room,,Yeoksam-dong,0,0.0,6,1.0,412.0,,37.498122,127.039088,2017-02-12 04:44:59.442103
11213409,58413780,Shared room,,Nonhyeon-dong,0,0.0,4,1.0,341.0,,37.507063,127.032229,2017-02-12 04:44:59.439073
9337263,22261535,Shared room,,Yeonnam-dong,1,0.0,16,1.0,225.0,,37.560228,126.920035,2017-02-12 04:44:57.943715
14094360,75553354,Shared room,,Gye-dong,2,0.0,11,1.0,288.0,,37.581778,126.98807,2017-02-12 04:44:57.941098
11461545,58413780,Shared room,,Yeoksam-dong,0,0.0,4,1.0,286.0,,37.507478,127.04011,2017-02-12 04:44:57.938848
16072077,24130965,Shared room,,Guro-dong,0,0.0,1,1.0,246.0,,37.494495,126.871012,2017-02-12 04:44:57.935969
13512741,77570823,Shared room,,Jagok-dong,0,0.0,4,1.0,206.0,,37.470937,127.089558,2017-02-12 04:44:56.703723
10297890,24221128,Shared room,,Samseong-dong,3,5.0,6,1.0,196.0,,37.51813,127.063404,2017-02-12 04:44:56.699445
10297830,24221128,Shared room,,Samseong-dong,1,0.0,5,1.0,155.0,,37.518633,127.062367,2017-02-12 04:44:55.300285
5126322,26497920,Shared room,,Seocho-dong,0,0.0,3,1.0,148.0,,37.499265,127.024718,2017-02-12 04:44:55.297140
7861100,5311036,Shared room,,Pirun-dong,0,0.0,6,1.0,162.0,,37.576603,126.969924,2017-02-12 04:44:55.294056
14828017,91599955,Shared room,,Tongin-dong,0,0.0,4,1.0,148.0,,37.580901,126.96887,2017-02-12 04:44:55.291795
8042071,41856381,Shared room,,Chebu-dong,0,0.0,6,1.0,162.0,,37.577233,126.971553,2017-02-12 04:44:55.288964
14827968,91599955,Shared room,,Nusang-dong,1,0.0,4,1.0,148.0,,37.580453,126.966961,2017-02-12 04:44:55.286725
9054305,46981096,Shared room,,Hyehwa-dong,0,0.0,6,1.0,179.0,,37.591686,127.001121,2017-02-12 04:44:55.283634
17030812,112049317,Shared room,,Yeonnam-dong,0,0.0,10,1.0,185.0,,37.56133,126.926238,2017-02-12 04:44:55.280911
1764317,8979626,Shared room,,Seogyo-dong,0,0.0,4,1.0,143.0,,37.554296,126.919103,2017-02-12 04:44:54.322148
9051953,47228317,Shared room,,Yeonnam-dong,2,0.0,6,1.0,126.0,,37.560367,126.921925,2017-02-12 04:44:54.319261
6453747,9181390,Shared room,,Myeongnyun 2(i)-ga,0,0.0,7,1.0,126.0,,37.585793,126.997965,2017-02-12 04:44:54.316761
12280875,66172277,Shared room,,Gwancheol-dong,0,0.0,4,1.0,126.0,,37.569556,126.985121,2017-02-12 04:44:54.314101
14091712,81038775,Shared room,,Myeongnyun 2(i)-ga,0,0.0,3,1.0,143.0,,37.585076,126.997647,2017-02-12 04:44:54.311244
8358298,32028072,Shared room,,Dongseon-dong 4(sa)-ga,0,0.0,6,1.0,134.0,,37.597116,127.019498,2017-02-12 04:44:54.309200
10297751,24221128,Shared room,,Samseong-dong,0,0.0,4,1.0,142.0,,37.519091,127.063802,2017-02-12 04:44:54.307001
14862018,91586231,Shared room,,Jamwon-dong,1,0.0,4,1.0,140.0,,37.513804,127.01736,2017-02-12 04:44:54.301620
15183351,74084742,Shared room,,Nonhyeon-dong,0,0.0,1,1.0,135.0,,37.506374,127.024123,2017-02-12 04:44:54.298719
14048825,39308679,Shared room,,Gahoe-dong,1,0.0,2,1.0,134.0,,37.583913,126.986545,2017-02-12 04:44:54.295815
13592545,77609130,Shared room,,Yeonnam-dong,4,5.0,6,1.0,126.0,,37.563256,126.924099,2017-02-12 04:44:54.293040
14861880,91586231,Shared room,,Jamwon-dong,0,0.0,3,1.0,105.0,,37.515039,127.018272,2017-02-12 04:44:53.276509
5105057,25164895,Shared room,,Itaewon-dong,1,0.0,7,1.0,107.0,,37.535984,126.991705,2017-02-12 04:44:53.273868
3853526,19876378,Shared room,,Songhyeon-dong,0,0.0,3,1.0,107.0,,37.576674,126.981044,2017-02-12 04:44:53.268693
8894691,37624210,Shared room,,Cheongdam-dong,0,0.0,5,1.0,112.0,,37.522075,127.040312,2017-02-12 04:44:53.265311
14859987,91586231,Shared room,,Jamwon-dong,0,0.0,3,1.0,105.0,,37.514038,127.017518,2017-02-12 04:44:53.263239
10130222,51987554,Shared room,,Donggyo-dong,0,0.0,4,1.0,107.0,,37.556405,126.922092,2017-02-12 04:44:53.260534
14861694,91586231,Shared room,,Jamwon-dong,0,0.0,3,1.0,105.0,,37.513797,127.017156,2017-02-12 04:44:53.255053
4421474,22951253,Shared room,,Myeong-dong 1(il)-ga,5,4.0,4,1.0,112.0,,37.564533,126.985602,2017-02-12 04:44:53.251803
14044564,81038775,Shared room,,Myeongnyun 1(il)-ga,0,0.0,2,1.0,116.0,,37.586467,126.998183,2017-02-12 04:44:53.249468
16809918,8952226,Shared room,,Pyeongchang-dong,1,0.0,4,1.0,107.0,,37.612839,126.977847,2017-02-12 04:44:53.246807
10090760,41974491,Shared room,,Hap-dong,0,0.0,6,1.0,90.0,,37.561724,126.965901,2017-02-12 04:44:52.241084
4247105,21921379,Shared room,,Sanggye-dong,0,0.0,1,1.0,88.0,,37.674843,127.052098,2017-02-12 04:44:50.886227
3427192,5999738,Shared room,,Yeonnam-dong,1,0.0,4,1.0,103.0,,37.560662,126.922578,2017-02-12 04:44:50.880000
16986108,37954578,Shared room,,Jegi-dong,0,0.0,6,1.0,90.0,,37.579949,127.032575,2017-02-12 04:44:50.877886
10297684,24221128,Shared room,,Samseong-dong,0,0.0,3,1.0,103.0,,37.517854,127.061812,2017-02-12 04:44:50.875726
6438517,31627642,Shared room,,Itaewon-dong,5,4.5,4,1.0,99.0,,37.535964,126.992801,2017-02-12 04:44:50.873381
