room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
5789410,1334,5165280,Shared room,,Seoul,,Samjeon-dong,9,4.5,5,1.0,,55.0,,2017-06-14 16:07:50.761973,37.506167,127.096923,0101000020E6100000BCCE86FC33C65F403FA88B14CAC04240
363709,1334,1736391,Shared room,,Seoul,,Jeungsan-dong,4,5.0,4,1.0,,39.0,,2017-06-14 16:04:15.134919,37.584756,126.910315,0101000020E6100000BA83D89942BA5F40E411DC48D9CA4240
11213409,1334,58413780,Shared room,,Seoul,,Nonhyeon-dong,0,0.0,4,1.0,,347.0,,2017-06-14 16:00:42.743904,37.507063,127.032229,0101000020E6100000E63E390A10C25F407E01BD70E7C04240
9337263,1334,22261535,Shared room,,Seoul,,Yeonnam-dong,1,0.0,16,1.0,,329.0,,2017-06-14 16:00:42.741080,37.560228,126.920035,0101000020E6100000390B7BDAE1BA5F40D926158DB5C74240
14095441,1334,75553354,Shared room,,Seoul,,Gye-dong,1,0.0,15,1.0,,468.0,,2017-06-14 16:00:42.736272,37.581801,126.987729,0101000020E6100000E413B2F336BF5F40DAE3857478CA4240
11461545,1334,58413780,Shared room,,Seoul,,Yeoksam-dong,0,0.0,4,1.0,,293.0,,2017-06-14 16:00:41.130631,37.507478,127.04011,0101000020E6100000868F882991C25F4041B8020AF5C04240
16072077,1334,24130965,Shared room,,Seoul,,Guro-dong,0,0.0,1,1.0,,251.0,,2017-06-14 16:00:41.126999,37.494495,126.871012,0101000020E61000001B9B1DA9BEB75F408C84B69C4BBF4240
14094360,1334,75553354,Shared room,,Seoul,,Gye-dong,2,0.0,11,1.0,,288.0,,2017-06-14 16:00:41.123672,37.581778,126.98807,0101000020E6100000280AF4893CBF5F4022C495B377CA4240
13512741,1334,77570823,Shared room,,Seoul,,Jagok-dong,0,0.0,4,1.0,,206.0,,2017-06-14 16:00:39.672938,37.470937,127.089558,0101000020E610000017467A51BBC55F40F9BCE2A947BC4240
2944137,1334,4838845,Shared room,,Seoul,,Daechi-dong,0,0.0,16,1.0,,182.0,,2017-06-14 16:00:38.317369,37.505325,127.061118,0101000020E61000009ACC785BE9C35F40F46C567DAEC04240
5126322,1334,26497920,Shared room,,Seoul,,Seocho-dong,0,0.0,3,1.0,,150.0,,2017-06-14 16:00:38.314923,37.499265,127.024718,0101000020E6100000D767CEFA94C15F40CB845FEAE7BF4240
1764317,1334,8979626,Shared room,,Seoul,,Seogyo-dong,0,0.0,4,1.0,,146.0,,2017-06-14 16:00:38.312868,37.554296,126.919103,0101000020E6100000F4A96395D2BA5F40DD26DC2BF3C64240
7861100,1334,5311036,Shared room,,Seoul,,Pirun-dong,0,0.0,6,1.0,,165.0,,2017-06-14 16:00:38.310282,37.576603,126.969924,0101000020E6100000C1E61C3C13BE5F4043E38920CEC94240
8042071,1334,41856381,Shared room,,Seoul,,Chebu-dong,0,0.0,6,1.0,,165.0,,2017-06-14 16:00:38.307610,37.577233,126.971553,0101000020E61000002A55A2EC2DBE5F4003965CC5E2C94240
9054305,1334,46981096,Shared room,,Seoul,,Hyehwa-dong,0,0.0,6,1.0,,182.0,,2017-06-14 16:00:38.303885,37.591686,127.001121,0101000020E6100000AF95D05D12C05F4023C0E95DBCCB4240
14091712,1334,81038775,Shared room,,Seoul,,Myeongnyun 2(i)-ga,0,0.0,3,1.0,,146.0,,2017-06-14 16:00:38.300956,37.585076,126.997647,0101000020E6100000F67CCD72D9BF5F4056D636C5E3CA4240
13592545,1334,77609130,Shared room,,Seoul,,Yeonnam-dong,4,5.0,6,1.0,,165.0,,2017-06-14 16:00:38.290476,37.563256,126.924099,0101000020E61000000BD1217024BB5F404DA3C9C518C84240
6453747,1334,9181390,Shared room,,Seoul,,Myeongnyun 2(i)-ga,0,0.0,7,1.0,,128.0,,2017-06-14 16:00:36.662493,37.585793,126.997965,0101000020E61000005E6397A8DEBF5F40E59CD843FBCA4240
14044564,1334,81038775,Shared room,,Seoul,,Myeongnyun 1(il)-ga,0,0.0,2,1.0,,128.0,,2017-06-14 16:00:36.652642,37.586467,126.998183,0101000020E6100000151BF33AE2BF5F407497C45911CB4240
9051953,1334,47228317,Shared room,,Seoul,,Yeonnam-dong,2,0.0,6,1.0,,128.0,,2017-06-14 16:00:36.649105,37.560367,126.921925,0101000020E61000005917B7D100BB5F40FA60191BBAC74240
12280875,1334,66172277,Shared room,,Seoul,,Gwancheol-dong,0,0.0,4,1.0,,128.0,,2017-06-14 16:00:36.646267,37.569556,126.985121,0101000020E61000009566F3380CBF5F40CB9E0436E7C84240
13592916,1334,77609130,Shared room,,Seoul,,Yeonnam-dong,4,5.0,4,1.0,,137.0,,2017-06-14 16:00:36.643616,37.562102,126.925079,0101000020E6100000D9CD8C7E34BB5F40138255F5F2C74240
15183351,1334,74084742,Shared room,,Seoul,,Nonhyeon-dong,0,0.0,1,1.0,,109.0,,2017-06-14 16:00:35.798111,37.506374,127.024123,0101000020E61000003605323B8BC15F40B9C5FCDCD0C04240
3853526,1334,19876378,Shared room,,Seoul,,Songhyeon-dong,0,0.0,3,1.0,,109.0,,2017-06-14 16:00:35.794713,37.576674,126.981044,0101000020E6100000F8FBC56CC9BE5F400C3A2174D0C94240
8358298,1334,32028072,Shared room,,Seoul,,Dongseon-dong 4(sa)-ga,0,0.0,6,1.0,,124.0,,2017-06-14 16:00:35.792437,37.597116,127.019498,0101000020E610000098158A743FC15F408CF50D4C6ECC4240
10130222,1334,51987554,Shared room,,Seoul,,Donggyo-dong,0,0.0,4,1.0,,109.0,,2017-06-14 16:00:35.789926,37.556405,126.922092,0101000020E6100000CFF9298E03BB5F405A2A6F4738C74240
4421474,1334,22951253,Shared room,,Seoul,,Myeong-dong 1(il)-ga,5,4.0,4,1.0,,114.0,,2017-06-14 16:00:35.780550,37.564533,126.985602,0101000020E6100000D237691A14BF5F40A2410A9E42C84240
17484026,1334,102169445,Shared room,,Seoul,,Yeonnam-dong,2,0.0,10,1.0,,118.0,,2017-06-14 16:00:35.776930,37.561528,126.926602,0101000020E6100000209A79724DBB5F40E7E44526E0C74240
5105057,1334,25164895,Shared room,,Seoul,,Itaewon-dong,1,0.0,7,1.0,,109.0,,2017-06-14 16:00:35.774906,37.535984,126.991705,0101000020E6100000E6913F1878BF5F40F296AB1F9BC44240
10551038,1334,53913229,Shared room,,Seoul,,Gahoe-dong,44,5.0,9,1.0,,124.0,,2017-06-14 16:00:35.772075,37.582025,126.984868,0101000020E610000020B8CA1308BF5F402A3A92CB7FCA4240
18616652,1334,129058543,Shared room,,Seoul,,Singil-dong,5,4.5,16,1.0,,114.0,,2017-06-14 16:00:35.769419,37.502764,126.91009,0101000020E6100000AA9A20EA3EBA5F4096CD1C925AC04240
